"","Aspect","Catchment_Area","Catchment_Slope","srtm_30m_madrean","Mid.Slope_Positon","Modified_Catchment_Area","Normalized_Height","Slope_Height","Slope","Standardized_Height","Terrain_Ruggedness_Index_.TRI.","Valley_Depth","SI_L5_NDVIspring_revised","SI_L5_NDVImonsoon_revised","SI_L5_NDMIspring_revised","SI_L5_NDMImonsoon_revised","spp","response"
"1",5.21173572540283,1.57298543967954e-07,1.57073736190796,2171,0.953254222869873,1.57298543967954e-07,0.976627111434937,218.18879699707,1.57075333595276,2120.1171875,43.5538711547852,5.22175121307373,0.362318843603134,0.493670880794525,0.0107526881620288,0.216494843363762,"PinEng",1
"2",0.785398185253143,2.52015610158196e-07,1.57076525688171,1994,0.87627899646759,2.52015610158196e-07,0.938139498233795,289.759887695312,1.57078218460083,1870.27893066406,36.0523490905762,19.1066417694092,0.397260278463364,0.574999988079071,0.0736842080950737,0.272727280855179,"PinEng",1
"3",1.03907227516174,2.56916251828443e-07,1.57075953483582,1963,0.860697329044342,2.56916251828443e-07,0.930348634719849,305.608093261719,1.57076895236969,1825.85656738281,30.9868984222412,22.8796081542969,0.402597397565842,0.545454561710358,0.0285714287310839,0.236363634467125,"PinEng",1
"4",1.53235375881195,3.0190545885489e-07,1.570756316185,2161,0.779117286205292,3.0190545885489e-07,0.889558613300323,107.729789733887,1.5707756280899,1921.67358398438,25.4293327331543,13.3749761581421,0.393258422613144,0.536842107772827,0.0689655169844627,0.237288132309914,"PinEng",1
"5",1.71787464618683,3.95887809645501e-07,1.57076871395111,2106,0.444188833236694,3.95887809645501e-07,0.722094416618347,69.2806015014648,1.57077658176422,1519.06335449219,41.881103515625,26.6633644104004,0.319148927927017,0.603960394859314,-0.00800000037997961,0.275590538978577,"PinEng",1
"6",2.30361151695251,2.08218750685774e-07,1.57077276706696,2089,0.614258110523224,2.08218750685774e-07,0.80712902545929,90.2324829101562,1.57078301906586,1684.93542480469,44.6140785217285,21.5618858337402,0.34042552113533,0.584158420562744,-0.0078740157186985,0.300813019275665,"PinEng",1
"7",1.31347262859344,2.94961353120016e-07,1.57074165344238,2042,0.703087449073792,2.94961353120016e-07,0.851543724536896,109.100440979004,1.57076895236969,1737.96154785156,33.642017364502,19.0203342437744,0.303370773792267,0.586206912994385,-0.0645161271095276,0.210526317358017,"PinEng",1
"8",4.57049179077148,7.26273370332819e-08,1.57072007656097,1853,0.865863978862762,7.26273370332819e-08,0.932931959629059,66.7933807373047,1.57072007656097,1728.32055664062,20.378137588501,4.80174255371094,0.282608687877655,0.566265046596527,-0.0166666675359011,0.22641509771347,"PinEng",1
"9",1.29249668121338,1.21385326679047e-07,1.57068419456482,1864,0.948321223258972,1.21385326679047e-07,0.974160611629486,108.134292602539,1.57072234153748,1815.68029785156,16.0322666168213,2.86823892593384,0.296703308820724,0.552941203117371,-0.0247933883219957,0.200000002980232,"PinEng",1
"10",5.86496114730835,2.81149681313764e-07,1.57074403762817,1864,0.669007182121277,2.81149681313764e-07,0.834503591060638,64.6268157958984,1.57076895236969,1554.52172851562,21.044376373291,12.8166084289551,0.277777791023254,0.6307692527771,-0.0707070678472519,0.324999988079071,"PinEng",1
